,name,JASPAR,cluster
206,Bhlha15,JASPAR_vertebrates_CORE_MA0607.2_n154,45
207,Creb3l2,JASPAR_vertebrates_CORE_MA0608.1_n25,21
208,Crem,JASPAR_vertebrates_CORE_MA0609.3_n245,81
209,Dmrt3,JASPAR_vertebrates_CORE_MA0610.2_n256,88
210,Dux,JASPAR_vertebrates_CORE_MA0611.3_n779,47
211,Emx1,JASPAR_vertebrates_CORE_MA0612.3_n291,106
212,Foxg1,JASPAR_vertebrates_CORE_MA0613.1_n26,5
213,Foxj2,JASPAR_vertebrates_CORE_MA0614.1_n27,5
214,Gmeb1,JASPAR_vertebrates_CORE_MA0615.2_n793,123
215,Hes2,JASPAR_vertebrates_CORE_MA0616.3_n400,46
216,Lbx1,JASPAR_vertebrates_CORE_MA0618.2_n462,125
217,Lin54,JASPAR_vertebrates_CORE_MA0619.2_n878,50
218,Mitf,JASPAR_vertebrates_CORE_MA0620.4_n488,101
219,Mix-a,JASPAR_vertebrates_CORE_MA0621.2_n171,115
220,Mlxip,JASPAR_vertebrates_CORE_MA0622.2_n813,21
221,Neurog1,JASPAR_vertebrates_CORE_MA0623.2_n141,45
222,Nfatc1,JASPAR_vertebrates_CORE_MA0624.3_n819,51
223,Nfatc3,JASPAR_vertebrates_CORE_MA0625.3_n505,51
224,Npas2,JASPAR_vertebrates_CORE_MA0626.2_n826,21
225,Pou2f3,JASPAR_vertebrates_CORE_MA0627.3_n567,78
226,Pou6f1,JASPAR_vertebrates_CORE_MA0628.2_n573,106
227,Rhox11,JASPAR_vertebrates_CORE_MA0629.2_n849,12
228,Shox,JASPAR_vertebrates_CORE_MA0630.2_n604,86
229,Six3,JASPAR_vertebrates_CORE_MA0631.2_n852,26
230,Tcfl5,JASPAR_vertebrates_CORE_MA0632.3_n641,74
231,Twist2,JASPAR_vertebrates_CORE_MA0633.3_n869,7
232,Alx3,JASPAR_vertebrates_CORE_MA0634.2_n204,86
233,Barhl2,JASPAR_vertebrates_CORE_MA0635.2_n219,124
234,Bhlhe41,JASPAR_vertebrates_CORE_MA0636.1_n28,101
235,Creb3,JASPAR_vertebrates_CORE_MA0638.2_n241,107
236,Dbp,JASPAR_vertebrates_CORE_MA0639.2_n253,138
237,Elf3,JASPAR_vertebrates_CORE_MA0640.3_n276,31
238,Elf4,JASPAR_vertebrates_CORE_MA0641.1_n29,83
239,En2,JASPAR_vertebrates_CORE_MA0642.3_n294,125
240,Esrrg,JASPAR_vertebrates_CORE_MA0643.2_n784,54
241,Esx1,JASPAR_vertebrates_CORE_MA0644.3_n308,125
242,Etv6,JASPAR_vertebrates_CORE_MA0645.2_n326,102
243,Gcm1,JASPAR_vertebrates_CORE_MA0646.2_n385,122
244,Grhl1,JASPAR_vertebrates_CORE_MA0647.2_n391,52
245,Gsc,JASPAR_vertebrates_CORE_MA0648.2_n393,112
246,Hey2,JASPAR_vertebrates_CORE_MA0649.2_n402,46
247,Hoxa13,JASPAR_vertebrates_CORE_MA0650.4_n772,10
248,Hoxc11,JASPAR_vertebrates_CORE_MA0651.3_n427,104
249,Irf8,JASPAR_vertebrates_CORE_MA0652.2_n445,130
250,Irf9,JASPAR_vertebrates_CORE_MA0653.1_n34,130
251,Isx,JASPAR_vertebrates_CORE_MA0654.2_n447,86
252,Jdp2,JASPAR_vertebrates_CORE_MA0655.1_n35,89
253,Jdp2,JASPAR_vertebrates_CORE_MA0656.2_n448,81
254,Klf13,JASPAR_vertebrates_CORE_MA0657.2_n453,14
255,Lhx6,JASPAR_vertebrates_CORE_MA0658.2_n466,115
256,Mafg,JASPAR_vertebrates_CORE_MA0659.4_n811,36
257,Mef2b,JASPAR_vertebrates_CORE_MA0660.1_n36,139
258,Meox1,JASPAR_vertebrates_CORE_MA0661.2_n485,141
259,Mixl1,JASPAR_vertebrates_CORE_MA0662.2_n489,86
260,Mlx,JASPAR_vertebrates_CORE_MA0663.1_n37,101
261,Mlxipl,JASPAR_vertebrates_CORE_MA0664.2_n490,59
262,Msc,JASPAR_vertebrates_CORE_MA0665.1_n38,39
263,Msx1,JASPAR_vertebrates_CORE_MA0666.3_n494,86
264,Myf6,JASPAR_vertebrates_CORE_MA0667.1_n39,39
265,Neurod2,JASPAR_vertebrates_CORE_MA0668.3_n817,29
266,Neurog2,JASPAR_vertebrates_CORE_MA0669.1_n40,45
267,Nfia,JASPAR_vertebrates_CORE_MA0670.2_n507,53
268,Nfix,JASPAR_vertebrates_CORE_MA0671.2_n512,53
269,Nkx2-3,JASPAR_vertebrates_CORE_MA0672.2_n520,17
270,Nkx2-8,JASPAR_vertebrates_CORE_MA0673.2_n523,17
271,Nkx6-1,JASPAR_vertebrates_CORE_MA0674.2_n524,115
272,Nkx6-2,JASPAR_vertebrates_CORE_MA0675.2_n525,106
273,Nr2e1,JASPAR_vertebrates_CORE_MA0676.1_n41,28
274,Nr2f6,JASPAR_vertebrates_CORE_MA0677.2_n832,65
275,Olig2,JASPAR_vertebrates_CORE_MA0678.1_n42,45
